,Service Type
Human Resources & Organizational Development,5
Park gate,5
Service praise - Transit,5
Tax certificate,5
Request for shelter or bench at bus stop,5
Flags,5
Bus did not arrive,5
Battery collection schedule,4
Tree watering,4
Greenhouse,4
Request for additional bus on route,4
Service complaint - Recreation and leisure,4
Registered fitness class,4
Drop-in swim,4
Towed vehicle,4
Gardens / horticulture,4
Dust control,4
Transfer problem,4
Hourly on-street parking payment rates,4
Safety concern - other passenger,4
HONK mobile,4
Room booking,4
Clean Neighbourhoods inquiries,4
Cataraqui Community Centre,4
Parking spot line painting,3
Employer Transpass program,3
Accessible on-street permit,3
Birth registration,3
Staff complaint - Parks,3
Cultural heritage,3
Skateboard park,3
Staff praise - Recreation and leisure,3
Service complaint - Parking Enforcement,3
Request for curb cutting,3
Bicycle parking or rack inquiry,3
Residential electronic equipment,3
Sight line issue - branch or tree,3
Corporate Asset Management & Fleet,3
Supplementary tax bill,3
Account management,3
"Staff feedback - Garbage, recycling and organics",3
Bicycle rack repairs,3
Battery disposal,3
Subdivision design,3
Parking lot vandalized vehicle,3
High school transit pass program,3
Vehicle in commercial loading zone,3
Tax rate determination,3
Group transportation planning,3
Online trip planner assistance,3
City general compliments,3
Rideau Heights Community Centre & Library,3
Parking lot signage issue,3
Park permit,3
Airport - Norman Rogers,3
Sportsfields bookings,2
Marriage licences,2
Markets,2
Cancel e-post tax bill,2
Assessment process,2
Complaint - Accessibility,2
Special event application,2
Grand Theatre,2
Bridges,2
Service feedback - Property taxes,2
Tourism Kingston,2
Commercial organics program,2
Red light camera program inquiry,2
Service complaint - Property taxes,2
Parking lot lighting issues,2
Parks,2
Culture events and programs,2
Accessibility inquiry or concern,2
"Staff feedback - Roads, traffic and sidewalks",2
Commercial HHW,2
Blocked access to bus stop,2
Vehicle size or weight regulations,2
Staff praise - Parks,2
Existing property owner name change,2
Parking increase in park,2
Financial services general inquiry,2
Real estate,2
Onboard surveillance cameras,2
Pitch-In,2
Sidewalk recycling collection,2
Staff complaint - Trees,2
Wood,1
"Service praise - Engineering, infrastructure and construction",1
Staff complaint,1
Centre 70,1
Service praise - Parking Operations,1
In person payment,1
Staff praise - Parking,1
Parking lot payment rates,1
Service feedback - Parking Enforcement,1
Transit detour feedback,1
Solid waste surveys,1
Bus temperature issue,1
Outdoor Aqua Park,1
Turtle concern,1
Neighbourhood Tree Planting technical issues,1
Roll number inquiry,1
Climate Leadership,1
Drop-in fitness class,1
New product type neeed,1
Staff feedback - Parks,1
Recycle demonstration,1
School presentation / training,1
Problem receiving e-post tax bill,1
Municipal events,1
Bus announcement too loud,1
Pool booking,1
Scrap metal disposal,1
Online property tax assessment tool,1
Service praise - Recreation and leisure,1
New backyard composter pick up,1
Indoor rink,1
Registered camp,1
Roadside wildflowers,1
Bus announcement not functioning,1
Commissioner of Oath,1
Curbside audits,1
